,Activity-levels,Local_p,Surprise
0.6918000000000001,2.0,0.995,-2.2988530764097064
1.4918,2.0,0.999,-2.999565488225982
5.5918,3.0,0.999,-2.999565488225982
9.9918,2.0,0.998,-2.6981005456233897
19.9918,2.0,0.997,-2.521573903591993
22.6918,2.0,0.998,-2.6981005456233897
23.0918,2.0,0.999,-2.999565488225982
27.291800000000002,3.0,0.999,-2.999565488225982
29.8918,2.0,0.998,-2.6981005456233897
33.1918,2.0,0.999,-2.999565488225982
40.3918,1.0,0.994,-2.2192351340136693
40.7918,1.0,0.992,-2.0934216851622347
41.5918,3.0,0.999,-2.999565488225982
42.5918,2.0,0.999,-2.999565488225982
49.0918,2.0,0.996,-2.396199347095736
49.491800000000005,2.0,0.996,-2.396199347095736
56.6918,2.0,0.996,-2.396199347095736
57.0918,2.0,0.998,-2.6981005456233897
57.5918,2.0,0.998,-2.6981005456233897
60.8918,2.0,0.998,-2.6981005456233897
62.491800000000005,2.0,0.996,-2.396199347095736
68.69180000000001,2.0,0.997,-2.521573903591993
72.99180000000001,2.0,0.996,-2.396199347095736
83.5918,2.0,0.997,-2.521573903591993
85.49180000000001,2.0,0.998,-2.6981005456233897
88.19180000000001,2.0,0.994,-2.2192351340136693
88.69180000000001,2.0,0.997,-2.521573903591993
94.29180000000001,2.0,0.997,-2.521573903591993
95.29180000000001,2.0,0.998,-2.6981005456233897
98.0918,2.0,0.998,-2.6981005456233897
100.49180000000001,2.0,0.993,-2.151851208481124
105.0918,2.0,0.997,-2.521573903591993
109.5918,2.0,0.998,-2.6981005456233897
111.49180000000001,2.0,0.995,-2.2988530764097064
112.39180000000002,2.0,0.998,-2.6981005456233897
112.79180000000001,2.0,0.998,-2.6981005456233897
113.0918,2.0,0.999,-2.999565488225982
115.39180000000002,2.0,0.995,-2.2988530764097064
116.69180000000001,2.0,0.999,-2.999565488225982
119.0918,2.0,0.998,-2.6981005456233897
119.79180000000001,2.0,0.996,-2.396199347095736
120.89180000000002,2.0,0.998,-2.6981005456233897
122.49180000000001,2.0,0.994,-2.2192351340136693
123.0918,2.0,0.996,-2.396199347095736
125.49180000000001,2.0,0.994,-2.2192351340136693
126.49180000000001,2.0,0.996,-2.396199347095736
128.29180000000002,2.0,0.997,-2.521573903591993
129.39180000000002,2.0,0.991,-2.04183114504595
132.39180000000002,4.0,0.999,-2.999565488225982
134.39180000000002,2.0,0.995,-2.2988530764097064
137.0918,2.0,0.993,-2.151851208481124
138.1918,2.0,0.994,-2.2192351340136693
141.6918,3.0,0.999,-2.999565488225982
146.1918,2.0,0.998,-2.6981005456233897
148.0918,2.0,0.999,-2.999565488225982
152.29180000000002,2.0,0.998,-2.6981005456233897
157.29180000000002,2.0,0.998,-2.6981005456233897
160.29180000000002,2.0,0.998,-2.6981005456233897
161.29180000000002,2.0,0.998,-2.6981005456233897
167.9918,2.0,0.999,-2.999565488225982
168.4918,2.0,0.999,-2.999565488225982
169.9918,2.0,0.992,-2.0934216851622347
171.79180000000002,3.0,0.999,-2.999565488225982
172.89180000000002,3.0,0.999,-2.999565488225982
173.89180000000002,2.0,0.995,-2.2988530764097064
177.9918,2.0,0.993,-2.151851208481124
181.0918,3.0,0.999,-2.999565488225982
181.4918,3.0,0.999,-2.999565488225982
183.29180000000002,2.0,0.993,-2.151851208481124
186.69180000000003,2.0,0.998,-2.6981005456233897
190.29180000000002,2.0,0.998,-2.6981005456233897
192.9918,2.0,0.994,-2.2192351340136693
194.19180000000003,2.0,0.997,-2.521573903591993
196.69180000000003,2.0,0.995,-2.2988530764097064
197.5918,2.0,0.994,-2.2192351340136693
199.0918,2.0,0.991,-2.04183114504595
199.29180000000002,2.0,0.994,-2.2192351340136693
201.89180000000002,2.0,0.999,-2.999565488225982
207.39180000000002,2.0,0.996,-2.396199347095736
208.4918,2.0,0.995,-2.2988530764097064
210.79180000000002,2.0,0.997,-2.521573903591993
213.89180000000002,2.0,0.996,-2.396199347095736
215.4918,2.0,0.998,-2.6981005456233897
218.19180000000003,2.0,0.996,-2.396199347095736
221.29180000000002,2.0,0.993,-2.151851208481124
223.89180000000002,2.0,0.992,-2.0934216851622347
225.79180000000002,2.0,0.994,-2.2192351340136693
227.29180000000002,2.0,0.993,-2.151851208481124
230.89180000000002,2.0,0.998,-2.6981005456233897
232.19180000000003,2.0,0.994,-2.2192351340136693
234.29180000000002,2.0,0.996,-2.396199347095736
238.19180000000003,2.0,0.994,-2.2192351340136693
239.29180000000002,2.0,0.995,-2.2988530764097064
239.5918,2.0,0.995,-2.2988530764097064
241.79180000000002,2.0,0.992,-2.0934216851622347
243.0918,2.0,0.994,-2.2192351340136693
243.9918,2.0,0.991,-2.04183114504595
244.9918,2.0,0.999,-2.999565488225982
246.19180000000003,2.0,0.991,-2.04183114504595
248.5918,2.0,0.996,-2.396199347095736
249.39180000000002,2.0,0.993,-2.151851208481124
255.89180000000002,2.0,0.994,-2.2192351340136693
256.6918,2.0,0.993,-2.151851208481124
261.0918,2.0,0.994,-2.2192351340136693
261.8918,2.0,0.993,-2.151851208481124
263.9918,2.0,0.993,-2.151851208481124
267.1918,2.0,0.998,-2.6981005456233897
270.29179999999997,2.0,0.998,-2.6981005456233897
274.29179999999997,2.0,0.997,-2.521573903591993
275.4918,2.0,0.996,-2.396199347095736
279.0918,2.0,0.997,-2.521573903591993
280.29179999999997,3.0,0.999,-2.999565488225982
282.9918,2.0,0.999,-2.999565488225982
284.79179999999997,2.0,0.996,-2.396199347095736
287.9918,2.0,0.999,-2.999565488225982
291.6918,2.0,0.997,-2.521573903591993
297.3918,2.0,0.996,-2.396199347095736
297.5918,2.0,0.993,-2.151851208481124
299.0918,2.0,0.996,-2.396199347095736
301.3918,2.0,0.998,-2.6981005456233897
301.6918,2.0,0.997,-2.521573903591993
302.3918,2.0,0.995,-2.2988530764097064
303.9918,2.0,0.995,-2.2988530764097064
305.79179999999997,2.0,0.997,-2.521573903591993
306.6918,2.0,0.998,-2.6981005456233897
308.7918,2.0,0.995,-2.2988530764097064
311.1918,2.0,0.994,-2.2192351340136693
312.7918,2.0,0.994,-2.2192351340136693
313.1918,2.0,0.998,-2.6981005456233897
315.4918,2.0,0.999,-2.999565488225982
318.3918,2.0,0.998,-2.6981005456233897
322.7918,2.0,0.997,-2.521573903591993
322.9918,2.0,0.997,-2.521573903591993
324.4918,2.0,0.993,-2.151851208481124
326.4918,2.0,0.996,-2.396199347095736
328.0918,2.0,0.998,-2.6981005456233897
328.8918,2.0,0.998,-2.6981005456233897
329.2918,2.0,0.996,-2.396199347095736
335.6918,2.0,0.994,-2.2192351340136693
347.9918,2.0,0.991,-2.04183114504595
351.3918,2.0,0.991,-2.04183114504595
353.4918,2.0,0.997,-2.521573903591993
354.3918,2.0,0.997,-2.521573903591993
355.5918,4.0,0.999,-2.999565488225982
357.1918,2.0,0.998,-2.6981005456233897
