,Activity-levels,Local_p,Surprise
0.26730000000025,3.0,0.997,-2.521573903591993
0.36730000000025,5.0,0.999,-2.999565488225982
0.46730000000024996,6.0,0.999,-2.999565488225982
0.5673000000002499,6.0,0.999,-2.999565488225982
0.6673000000002499,7.0,0.999,-2.999565488225982
0.7673000000002499,7.0,0.998,-2.6981005456233897
0.8673000000002499,7.0,0.996,-2.396199347095736
5.867300000000249,0.0,0.008,2.093421685162235
16.767300000000247,6.0,0.997,-2.521573903591993
25.967300000000247,5.0,0.991,-2.04183114504595
34.06730000000024,5.0,0.994,-2.2192351340136693
34.16730000000024,5.0,0.994,-2.2192351340136693
34.26730000000024,5.0,0.991,-2.04183114504595
34.36730000000024,6.0,0.998,-2.6981005456233897
34.46730000000024,6.0,0.999,-2.999565488225982
34.56730000000024,5.0,0.994,-2.2192351340136693
40.36730000000024,6.0,0.996,-2.396199347095736
40.467300000000236,6.0,0.992,-2.0934216851622347
40.56730000000024,6.0,0.991,-2.04183114504595
40.66730000000024,6.0,0.991,-2.04183114504595
40.76730000000024,6.0,0.994,-2.2192351340136693
40.86730000000024,6.0,0.994,-2.2192351340136693
42.367300000000235,7.0,0.998,-2.6981005456233897
42.467300000000236,7.0,0.999,-2.999565488225982
42.56730000000024,7.0,0.999,-2.999565488225982
47.26730000000024,6.0,0.991,-2.04183114504595
47.367300000000235,6.0,0.992,-2.0934216851622347
47.467300000000236,7.0,0.999,-2.999565488225982
47.56730000000024,7.0,0.999,-2.999565488225982
47.66730000000024,6.0,0.998,-2.6981005456233897
49.76730000000023,6.0,0.991,-2.04183114504595
74.46730000000024,6.0,0.993,-2.151851208481124
74.56730000000023,7.0,0.999,-2.999565488225982
74.66730000000022,8.0,0.999,-2.999565488225982
74.76730000000023,7.0,0.999,-2.999565488225982
86.66730000000022,6.0,0.994,-2.2192351340136693
98.66730000000022,7.0,0.999,-2.999565488225982
98.76730000000022,7.0,0.998,-2.6981005456233897
109.76730000000022,8.0,0.999,-2.999565488225982
109.86730000000023,8.0,0.999,-2.999565488225982
109.96730000000022,8.0,0.999,-2.999565488225982
110.06730000000022,8.0,0.999,-2.999565488225982
110.16730000000022,7.0,0.999,-2.999565488225982
112.46730000000022,7.0,0.999,-2.999565488225982
112.56730000000022,8.0,0.999,-2.999565488225982
112.66730000000022,7.0,0.998,-2.6981005456233897
112.76730000000022,7.0,0.999,-2.999565488225982
134.06730000000024,7.0,0.998,-2.6981005456233897
134.16730000000024,7.0,0.997,-2.521573903591993
163.26730000000023,6.0,0.999,-2.999565488225982
163.36730000000023,7.0,0.999,-2.999565488225982
168.86730000000023,6.0,0.991,-2.04183114504595
168.96730000000022,7.0,0.998,-2.6981005456233897
169.06730000000022,7.0,0.999,-2.999565488225982
169.1673000000002,7.0,0.999,-2.999565488225982
169.36730000000023,6.0,0.991,-2.04183114504595
201.46730000000022,0.0,0.008,2.093421685162235
202.7673000000002,7.0,0.997,-2.521573903591993
202.96730000000022,8.0,0.999,-2.999565488225982
203.06730000000022,7.0,0.997,-2.521573903591993
203.1673000000002,7.0,0.998,-2.6981005456233897
203.2673000000002,8.0,0.999,-2.999565488225982
203.56730000000022,7.0,0.998,-2.6981005456233897
212.46730000000022,7.0,0.995,-2.2988530764097064
219.96730000000022,6.0,0.995,-2.2988530764097064
220.06730000000022,7.0,0.999,-2.999565488225982
220.1673000000002,9.0,0.999,-2.999565488225982
220.2673000000002,7.0,0.999,-2.999565488225982
220.3673000000002,7.0,0.999,-2.999565488225982
220.46730000000022,6.0,0.994,-2.2192351340136693
221.2673000000002,6.0,0.998,-2.6981005456233897
221.3673000000002,6.0,0.998,-2.6981005456233897
229.8673000000002,6.0,0.992,-2.0934216851622347
230.06730000000022,6.0,0.991,-2.04183114504595
230.1673000000002,7.0,0.999,-2.999565488225982
230.2673000000002,7.0,0.999,-2.999565488225982
230.3673000000002,7.0,0.999,-2.999565488225982
