,Activity-levels,Local_p,Surprise
0.555,5.0,0.9925,-2.1216692520434557
0.6550000000000001,6.0,0.9975,-2.6009728956867577
0.7550000000000001,5.0,0.992,-2.0934216851622347
0.8550000000000001,5.0,0.995,-2.2988530764097064
15.455,5.0,0.996,-2.396199347095736
17.755,5.0,0.994,-2.2192351340136693
29.855,4.0,0.9925,-2.1216692520434557
29.955000000000002,4.0,0.9915,-2.0668737928270313
37.455,7.0,0.9995,-3.3008127941181646
37.555,5.0,0.993,-2.151851208481124
37.655,5.0,0.991,-2.04183114504595
42.455000000000005,5.0,0.996,-2.396199347095736
44.455000000000005,5.0,0.996,-2.396199347095736
48.255,4.0,0.991,-2.04183114504595
50.355000000000004,5.0,0.9985,-2.823256810151056
53.155,5.0,0.996,-2.396199347095736
59.255,4.0,0.991,-2.04183114504595
59.355000000000004,4.0,0.9945,-2.2572420979662144
60.555,4.0,0.993,-2.151851208481124
73.25500000000001,4.0,0.9905,-2.0181308745857205
84.35500000000002,5.0,0.998,-2.6981005456233897
87.65500000000002,5.0,0.999,-2.999565488225982
87.75500000000001,4.0,0.9905,-2.0181308745857205
89.45500000000001,4.0,0.993,-2.151851208481124
89.555,6.0,0.9995,-3.3008127941181646
94.555,5.0,0.999,-2.999565488225982
94.65500000000002,7.0,0.9995,-3.3008127941181646
94.75500000000001,8.0,0.9995,-3.3008127941181646
94.85500000000002,5.0,0.999,-2.999565488225982
106.65500000000002,5.0,0.996,-2.396199347095736
111.65500000000002,5.0,0.9955,-2.3448287505880896
111.75500000000001,5.0,0.9975,-2.6009728956867577
119.15500000000002,4.0,0.994,-2.2192351340136693
119.25500000000001,4.0,0.993,-2.151851208481124
120.45500000000001,4.0,0.9915,-2.0668737928270313
125.555,4.0,0.9945,-2.2572420979662144
129.85500000000002,5.0,0.9955,-2.3448287505880896
130.655,5.0,0.995,-2.2988530764097064
132.655,5.0,0.992,-2.0934216851622347
136.35500000000002,5.0,0.993,-2.151851208481124
148.055,5.0,0.994,-2.2192351340136693
153.555,5.0,0.9965,-2.4544092586862374
172.955,6.0,0.999,-2.999565488225982
173.055,6.0,0.9995,-3.3008127941181646
173.15500000000003,5.0,0.9945,-2.2572420979662144
186.055,4.0,0.991,-2.04183114504595
194.455,5.0,0.9965,-2.4544092586862374
195.65500000000003,5.0,0.9945,-2.2572420979662144
198.955,5.0,0.996,-2.396199347095736
199.055,5.0,0.992,-2.0934216851622347
209.85500000000002,5.0,0.997,-2.521573903591993
209.955,5.0,0.997,-2.521573903591993
211.055,5.0,0.997,-2.521573903591993
211.15500000000003,5.0,0.996,-2.396199347095736
212.055,5.0,0.9995,-3.3008127941181646
214.15500000000003,5.0,0.998,-2.6981005456233897
214.25500000000002,5.0,0.9985,-2.823256810151056
215.555,5.0,0.998,-2.6981005456233897
220.75500000000002,5.0,0.997,-2.521573903591993
220.85500000000002,5.0,0.996,-2.396199347095736
221.65500000000003,5.0,0.997,-2.521573903591993
226.75500000000002,5.0,0.994,-2.2192351340136693
232.555,5.0,0.997,-2.521573903591993
237.25500000000002,5.0,0.996,-2.396199347095736
238.955,4.0,0.992,-2.0934216851622347
242.85500000000002,5.0,0.999,-2.999565488225982
242.955,5.0,0.999,-2.999565488225982
251.055,4.0,0.994,-2.2192351340136693
251.15500000000003,4.0,0.9935,-2.1842545148029817
261.755,5.0,0.9975,-2.6009728956867577
264.855,5.0,0.9955,-2.3448287505880896
269.355,6.0,0.999,-2.999565488225982
281.855,4.0,0.9905,-2.0181308745857205
281.95500000000004,5.0,0.999,-2.999565488225982
282.055,5.0,0.9995,-3.3008127941181646
288.95500000000004,5.0,0.995,-2.2988530764097064
289.055,5.0,0.995,-2.2988530764097064
289.65500000000003,5.0,0.9965,-2.4544092586862374
294.95500000000004,6.0,0.999,-2.999565488225982
295.055,5.0,0.9925,-2.1216692520434557
298.95500000000004,6.0,0.9975,-2.6009728956867577
299.055,6.0,0.997,-2.521573903591993
301.755,5.0,0.991,-2.04183114504595
301.855,6.0,0.9975,-2.6009728956867577
301.95500000000004,8.0,0.9995,-3.3008127941181646
302.055,7.0,0.999,-2.999565488225982
311.355,5.0,0.9955,-2.3448287505880896
315.65500000000003,5.0,0.9925,-2.1216692520434557
315.75500000000005,5.0,0.993,-2.151851208481124
316.75500000000005,5.0,0.9945,-2.2572420979662144
318.855,6.0,0.9995,-3.3008127941181646
323.75500000000005,6.0,0.999,-2.999565488225982
323.855,5.0,0.996,-2.396199347095736
332.855,5.0,0.997,-2.521573903591993
345.75500000000005,6.0,0.9995,-3.3008127941181646
345.855,6.0,0.999,-2.999565488225982
345.95500000000004,5.0,0.9945,-2.2572420979662144
349.75500000000005,5.0,0.997,-2.521573903591993
358.75500000000005,5.0,0.998,-2.6981005456233897
359.25500000000005,5.0,0.996,-2.396199347095736
368.855,5.0,0.9975,-2.6009728956867577
368.95500000000004,5.0,0.995,-2.2988530764097064
375.25500000000005,5.0,0.9955,-2.3448287505880896
375.355,5.0,0.9945,-2.2572420979662144
375.65500000000003,6.0,0.999,-2.999565488225982
375.75500000000005,6.0,0.996,-2.396199347095736
381.95500000000004,6.0,0.9995,-3.3008127941181646
383.355,4.0,0.9925,-2.1216692520434557
389.055,4.0,0.994,-2.2192351340136693
389.15500000000003,5.0,0.9995,-3.3008127941181646
390.45500000000004,4.0,0.9955,-2.3448287505880896
390.75500000000005,4.0,0.9905,-2.0181308745857205
390.855,4.0,0.991,-2.04183114504595
