,Activity-levels,Local_p,Surprise
0.6550000000000001,8.0,0.9985,-2.823256810151056
0.7550000000000001,9.0,0.9995,-3.3008127941181646
0.8550000000000001,9.0,0.9985,-2.823256810151056
0.9550000000000001,10.0,0.999,-2.999565488225982
1.055,10.0,0.9995,-3.3008127941181646
1.155,10.0,0.9995,-3.3008127941181646
1.2550000000000001,10.0,0.9995,-3.3008127941181646
1.355,9.0,0.997,-2.521573903591993
1.455,9.0,0.9975,-2.6009728956867577
1.555,9.0,0.999,-2.999565488225982
1.655,9.0,0.999,-2.999565488225982
1.7550000000000001,8.0,0.9955,-2.3448287505880896
5.355,0.0,0.0055,2.2572420979662104
5.455,0.0,0.0045,2.3448287505880847
5.555,0.0,0.004,2.3961993470957363
9.755,6.0,0.997,-2.521573903591993
9.855,6.0,0.997,-2.521573903591993
9.955,6.0,0.9965,-2.4544092586862374
14.055,0.0,0.008,2.093421685162235
14.155000000000001,0.0,0.008,2.093421685162235
15.055,7.0,0.9955,-2.3448287505880896
15.155000000000001,7.0,0.997,-2.521573903591993
15.455,7.0,0.9975,-2.6009728956867577
15.755,7.0,0.997,-2.521573903591993
22.555,6.0,0.9905,-2.0181308745857205
24.655,6.0,0.9905,-2.0181308745857205
37.455,7.0,0.994,-2.2192351340136693
37.555,7.0,0.995,-2.2988530764097064
37.655,7.0,0.995,-2.2988530764097064
37.755,7.0,0.993,-2.151851208481124
37.855000000000004,7.0,0.991,-2.04183114504595
42.455000000000005,8.0,0.9955,-2.3448287505880896
42.555,7.0,0.991,-2.04183114504595
42.955000000000005,8.0,0.999,-2.999565488225982
43.055,7.0,0.995,-2.2988530764097064
44.755,7.0,0.9995,-3.3008127941181646
60.855000000000004,6.0,0.9965,-2.4544092586862374
61.055,6.0,0.998,-2.6981005456233897
61.155,7.0,0.9995,-3.3008127941181646
61.255,6.0,0.997,-2.521573903591993
89.555,6.0,0.997,-2.521573903591993
89.65500000000002,6.0,0.998,-2.6981005456233897
94.65500000000002,6.0,0.997,-2.521573903591993
94.75500000000001,7.0,0.9995,-3.3008127941181646
94.85500000000002,7.0,0.9995,-3.3008127941181646
94.95500000000001,7.0,0.9995,-3.3008127941181646
95.055,7.0,0.9995,-3.3008127941181646
95.15500000000002,6.0,0.998,-2.6981005456233897
96.85500000000002,6.0,0.992,-2.0934216851622347
96.95500000000001,6.0,0.993,-2.151851208481124
100.95500000000001,6.0,0.993,-2.151851208481124
101.055,6.0,0.9955,-2.3448287505880896
123.95500000000001,7.0,0.999,-2.999565488225982
124.055,7.0,0.998,-2.6981005456233897
131.35500000000002,7.0,0.9945,-2.2572420979662144
131.75500000000002,7.0,0.994,-2.2192351340136693
136.35500000000002,7.0,0.9905,-2.0181308745857205
136.85500000000002,7.0,0.994,-2.2192351340136693
143.75500000000002,7.0,0.998,-2.6981005456233897
143.85500000000002,7.0,0.9985,-2.823256810151056
150.455,7.0,0.997,-2.521573903591993
150.555,7.0,0.998,-2.6981005456233897
150.655,7.0,0.9965,-2.4544092586862374
151.155,7.0,0.9965,-2.4544092586862374
157.35500000000002,6.0,0.9905,-2.0181308745857205
160.35500000000002,6.0,0.9905,-2.0181308745857205
166.35500000000002,7.0,0.9935,-2.1842545148029817
166.455,7.0,0.9935,-2.1842545148029817
166.555,7.0,0.9935,-2.1842545148029817
166.65500000000003,7.0,0.996,-2.396199347095736
188.15500000000003,7.0,0.9975,-2.6009728956867577
188.25500000000002,7.0,0.999,-2.999565488225982
210.15500000000003,6.0,0.9935,-2.1842545148029817
210.455,6.0,0.9905,-2.0181308745857205
220.85500000000002,6.0,0.9915,-2.0668737928270313
220.955,6.0,0.993,-2.151851208481124
237.35500000000002,7.0,0.991,-2.04183114504595
237.455,8.0,0.999,-2.999565488225982
237.555,8.0,0.9985,-2.823256810151056
237.65500000000003,8.0,0.999,-2.999565488225982
237.75500000000002,8.0,0.9995,-3.3008127941181646
