,Activity-levels,Local_p,Surprise
0.26730000000025,3.0,0.999,-2.999565488225982
9.267300000000247,3.0,0.996,-2.396199347095736
11.267300000000247,3.0,0.999,-2.999565488225982
16.167300000000246,2.0,0.996,-2.396199347095736
18.267300000000247,2.0,0.995,-2.2988530764097064
23.267300000000247,2.0,0.991,-2.04183114504595
23.867300000000245,2.0,0.997,-2.521573903591993
25.367300000000245,3.0,0.999,-2.999565488225982
28.667300000000246,2.0,0.994,-2.2192351340136693
28.867300000000245,2.0,0.996,-2.396199347095736
30.367300000000245,2.0,0.991,-2.04183114504595
32.36730000000024,2.0,0.997,-2.521573903591993
33.26730000000024,2.0,0.991,-2.04183114504595
33.56730000000024,2.0,0.992,-2.0934216851622347
34.06730000000024,2.0,0.991,-2.04183114504595
34.36730000000024,2.0,0.992,-2.0934216851622347
35.76730000000024,2.0,0.991,-2.04183114504595
40.36730000000024,3.0,0.999,-2.999565488225982
41.26730000000024,2.0,0.993,-2.151851208481124
49.76730000000023,3.0,0.999,-2.999565488225982
52.26730000000023,2.0,0.992,-2.0934216851622347
52.867300000000235,2.0,0.994,-2.2192351340136693
56.16730000000023,3.0,0.998,-2.6981005456233897
56.76730000000023,2.0,0.995,-2.2988530764097064
57.16730000000023,2.0,0.995,-2.2988530764097064
61.26730000000023,2.0,0.994,-2.2192351340136693
62.26730000000023,3.0,0.999,-2.999565488225982
62.367300000000235,2.0,0.994,-2.2192351340136693
71.46730000000024,3.0,0.998,-2.6981005456233897
72.36730000000023,2.0,0.994,-2.2192351340136693
80.46730000000024,3.0,0.999,-2.999565488225982
86.66730000000022,2.0,0.996,-2.396199347095736
91.66730000000022,3.0,0.999,-2.999565488225982
92.46730000000022,2.0,0.992,-2.0934216851622347
93.76730000000023,2.0,0.991,-2.04183114504595
95.26730000000023,2.0,0.993,-2.151851208481124
97.26730000000022,2.0,0.994,-2.2192351340136693
98.66730000000022,3.0,0.998,-2.6981005456233897
104.36730000000023,2.0,0.994,-2.2192351340136693
106.86730000000023,2.0,0.997,-2.521573903591993
109.56730000000022,2.0,0.992,-2.0934216851622347
109.76730000000022,3.0,0.999,-2.999565488225982
110.96730000000022,2.0,0.995,-2.2988530764097064
111.96730000000022,2.0,0.994,-2.2192351340136693
112.46730000000022,2.0,0.994,-2.2192351340136693
112.66730000000022,2.0,0.997,-2.521573903591993
113.86730000000023,2.0,0.995,-2.2988530764097064
114.06730000000022,2.0,0.997,-2.521573903591993
116.06730000000022,2.0,0.996,-2.396199347095736
117.66730000000022,2.0,0.992,-2.0934216851622347
126.36730000000021,2.0,0.993,-2.151851208481124
127.76730000000022,2.0,0.998,-2.6981005456233897
128.46730000000022,2.0,0.999,-2.999565488225982
134.06730000000024,3.0,0.998,-2.6981005456233897
135.16730000000024,2.0,0.991,-2.04183114504595
135.86730000000023,2.0,0.996,-2.396199347095736
136.66730000000024,2.0,0.993,-2.151851208481124
137.16730000000024,2.0,0.995,-2.2988530764097064
140.76730000000023,2.0,0.992,-2.0934216851622347
144.86730000000023,3.0,0.999,-2.999565488225982
147.26730000000023,2.0,0.994,-2.2192351340136693
156.46730000000022,2.0,0.994,-2.2192351340136693
157.36730000000023,2.0,0.993,-2.151851208481124
159.66730000000024,2.0,0.992,-2.0934216851622347
160.46730000000022,2.0,0.996,-2.396199347095736
162.76730000000023,2.0,0.996,-2.396199347095736
163.06730000000022,2.0,0.994,-2.2192351340136693
167.6673000000002,2.0,0.992,-2.0934216851622347
168.56730000000022,2.0,0.994,-2.2192351340136693
168.76730000000023,2.0,0.994,-2.2192351340136693
170.76730000000023,2.0,0.996,-2.396199347095736
175.1673000000002,2.0,0.991,-2.04183114504595
175.26730000000023,3.0,0.999,-2.999565488225982
177.6673000000002,2.0,0.991,-2.04183114504595
182.1673000000002,2.0,0.995,-2.2988530764097064
183.96730000000022,3.0,0.999,-2.999565488225982
185.1673000000002,2.0,0.993,-2.151851208481124
188.56730000000022,2.0,0.993,-2.151851208481124
196.7673000000002,2.0,0.991,-2.04183114504595
199.96730000000022,2.0,0.991,-2.04183114504595
201.56730000000022,2.0,0.992,-2.0934216851622347
203.56730000000022,3.0,0.999,-2.999565488225982
204.56730000000022,2.0,0.991,-2.04183114504595
205.2673000000002,3.0,0.999,-2.999565488225982
209.06730000000022,2.0,0.992,-2.0934216851622347
209.46730000000022,2.0,0.992,-2.0934216851622347
214.36730000000023,2.0,0.991,-2.04183114504595
217.86730000000023,2.0,0.993,-2.151851208481124
219.56730000000022,2.0,0.996,-2.396199347095736
219.8673000000002,2.0,0.992,-2.0934216851622347
220.1673000000002,2.0,0.995,-2.2988530764097064
221.2673000000002,3.0,0.999,-2.999565488225982
223.1673000000002,2.0,0.994,-2.2192351340136693
226.3673000000002,2.0,0.996,-2.396199347095736
227.7673000000002,2.0,0.999,-2.999565488225982
229.06730000000022,2.0,0.994,-2.2192351340136693
229.7673000000002,3.0,0.999,-2.999565488225982
229.8673000000002,2.0,0.994,-2.2192351340136693
