,Activity-levels,Local_p,Surprise
0.26730000000025,4.0,0.999,-2.999565488225982
0.36730000000025,6.0,0.999,-2.999565488225982
0.46730000000024996,7.0,0.999,-2.999565488225982
0.5673000000002499,7.0,0.999,-2.999565488225982
0.6673000000002499,8.0,0.997,-2.521573903591993
0.7673000000002499,8.0,0.992,-2.0934216851622347
3.9673000000002494,8.0,0.991,-2.04183114504595
34.46730000000024,7.0,0.991,-2.04183114504595
40.36730000000024,8.0,0.993,-2.151851208481124
40.467300000000236,8.0,0.996,-2.396199347095736
40.56730000000024,8.0,0.995,-2.2988530764097064
40.66730000000024,8.0,0.993,-2.151851208481124
40.76730000000024,8.0,0.994,-2.2192351340136693
40.86730000000024,8.0,0.991,-2.04183114504595
42.367300000000235,8.0,0.995,-2.2988530764097064
42.467300000000236,8.0,0.994,-2.2192351340136693
42.56730000000024,8.0,0.995,-2.2988530764097064
47.467300000000236,8.0,0.999,-2.999565488225982
47.56730000000024,8.0,0.999,-2.999565488225982
47.66730000000024,7.0,0.993,-2.151851208481124
49.76730000000023,8.0,0.999,-2.999565488225982
54.467300000000236,0.0,0.006,2.21923513401367
64.46730000000024,8.0,0.993,-2.151851208481124
64.56730000000023,8.0,0.995,-2.2988530764097064
72.86730000000023,7.0,0.992,-2.0934216851622347
74.46730000000024,8.0,0.994,-2.2192351340136693
74.56730000000023,9.0,0.999,-2.999565488225982
74.66730000000022,9.0,0.999,-2.999565488225982
74.76730000000023,8.0,0.997,-2.521573903591993
83.46730000000024,7.0,0.992,-2.0934216851622347
98.66730000000022,8.0,0.994,-2.2192351340136693
98.76730000000022,8.0,0.993,-2.151851208481124
109.76730000000022,9.0,0.999,-2.999565488225982
109.86730000000023,9.0,0.999,-2.999565488225982
109.96730000000022,9.0,0.999,-2.999565488225982
110.06730000000022,9.0,0.998,-2.6981005456233897
110.16730000000022,8.0,0.995,-2.2988530764097064
110.26730000000022,8.0,0.996,-2.396199347095736
112.56730000000022,8.0,0.998,-2.6981005456233897
124.66730000000022,8.0,0.995,-2.2988530764097064
124.76730000000022,8.0,0.993,-2.151851208481124
134.06730000000024,8.0,0.998,-2.6981005456233897
134.16730000000024,9.0,0.999,-2.999565488225982
135.16730000000024,7.0,0.991,-2.04183114504595
159.26730000000023,0.0,0.006,2.21923513401367
163.36730000000023,7.0,0.994,-2.2192351340136693
163.56730000000022,7.0,0.994,-2.2192351340136693
163.66730000000024,7.0,0.997,-2.521573903591993
168.96730000000022,8.0,0.994,-2.2192351340136693
169.06730000000022,9.0,0.999,-2.999565488225982
169.1673000000002,9.0,0.999,-2.999565488225982
169.26730000000023,8.0,0.993,-2.151851208481124
169.36730000000023,8.0,0.997,-2.521573903591993
175.06730000000022,0.0,0.008,2.093421685162235
184.26730000000023,7.0,0.991,-2.04183114504595
184.46730000000022,7.0,0.993,-2.151851208481124
184.56730000000022,7.0,0.992,-2.0934216851622347
192.6673000000002,0.0,0.005,2.298853076409707
192.7673000000002,0.0,0.009,2.0418311450459505
195.06730000000022,7.0,0.993,-2.151851208481124
202.7673000000002,8.0,0.996,-2.396199347095736
202.96730000000022,8.0,0.995,-2.2988530764097064
203.1673000000002,8.0,0.993,-2.151851208481124
203.2673000000002,9.0,0.997,-2.521573903591993
203.56730000000022,8.0,0.994,-2.2192351340136693
218.7673000000002,0.0,0.004,2.3961993470957363
218.8673000000002,0.0,0.005,2.298853076409707
218.96730000000022,0.0,0.005,2.298853076409707
219.06730000000022,0.0,0.007,2.1518512084811245
219.1673000000002,0.0,0.006,2.21923513401367
219.2673000000002,0.0,0.006,2.21923513401367
219.3673000000002,0.0,0.007,2.1518512084811245
219.46730000000022,0.0,0.009,2.0418311450459505
220.06730000000022,7.0,0.995,-2.2988530764097064
220.1673000000002,9.0,0.999,-2.999565488225982
220.2673000000002,8.0,0.998,-2.6981005456233897
220.3673000000002,8.0,0.999,-2.999565488225982
220.46730000000022,7.0,0.995,-2.2988530764097064
229.8673000000002,7.0,0.998,-2.6981005456233897
229.96730000000022,7.0,0.993,-2.151851208481124
230.06730000000022,7.0,0.993,-2.151851208481124
230.1673000000002,8.0,0.998,-2.6981005456233897
230.2673000000002,8.0,0.996,-2.396199347095736
230.3673000000002,8.0,0.996,-2.396199347095736
233.06730000000022,0.0,0.007,2.1518512084811245
233.1673000000002,0.0,0.008,2.093421685162235
233.2673000000002,0.0,0.004,2.3961993470957363
233.3673000000002,0.0,0.005,2.298853076409707
