,Activity-levels,Local_p,Surprise
8.7918,6.0,0.994,-2.2192351340136693
27.291800000000002,7.0,0.993,-2.151851208481124
27.3918,7.0,0.993,-2.151851208481124
27.4918,8.0,0.999,-2.999565488225982
27.5918,7.0,0.998,-2.6981005456233897
27.6918,7.0,0.995,-2.2988530764097064
33.5918,6.0,0.996,-2.396199347095736
33.6918,7.0,0.999,-2.999565488225982
33.7918,7.0,0.998,-2.6981005456233897
33.8918,6.0,0.992,-2.0934216851622347
33.9918,6.0,0.994,-2.2192351340136693
49.491800000000005,8.0,0.999,-2.999565488225982
49.5918,8.0,0.999,-2.999565488225982
49.6918,9.0,0.999,-2.999565488225982
49.7918,8.0,0.998,-2.6981005456233897
49.8918,8.0,0.999,-2.999565488225982
72.99180000000001,7.0,0.995,-2.2988530764097064
73.0918,7.0,0.991,-2.04183114504595
80.5918,7.0,0.996,-2.396199347095736
83.19180000000001,7.0,0.996,-2.396199347095736
83.39180000000002,7.0,0.996,-2.396199347095736
83.49180000000001,7.0,0.997,-2.521573903591993
83.5918,8.0,0.999,-2.999565488225982
83.69180000000001,7.0,0.998,-2.6981005456233897
113.29180000000001,7.0,0.997,-2.521573903591993
113.39180000000002,7.0,0.997,-2.521573903591993
119.89180000000002,7.0,0.994,-2.2192351340136693
119.99180000000001,7.0,0.993,-2.151851208481124
126.89180000000002,7.0,0.991,-2.04183114504595
130.1918,0.0,0.002,2.6981005456233897
130.29180000000002,0.0,0.002,2.6981005456233897
131.4918,8.0,0.993,-2.151851208481124
132.1918,0.0,0.005,2.298853076409707
139.39180000000002,7.0,0.994,-2.2192351340136693
140.6918,0.0,0.009,2.0418311450459505
141.6918,7.0,0.995,-2.2988530764097064
161.39180000000002,8.0,0.996,-2.396199347095736
161.4918,9.0,0.999,-2.999565488225982
161.5918,8.0,0.997,-2.521573903591993
173.9918,8.0,0.998,-2.6981005456233897
174.0918,7.0,0.994,-2.2192351340136693
181.5918,7.0,0.994,-2.2192351340136693
181.69180000000003,9.0,0.999,-2.999565488225982
181.89180000000002,8.0,0.994,-2.2192351340136693
181.9918,8.0,0.996,-2.396199347095736
182.0918,8.0,0.996,-2.396199347095736
182.5918,0.0,0.006,2.21923513401367
197.0918,7.0,0.994,-2.2192351340136693
226.29180000000002,8.0,0.996,-2.396199347095736
226.39180000000002,9.0,0.999,-2.999565488225982
227.29180000000002,9.0,0.999,-2.999565488225982
227.39180000000002,9.0,0.999,-2.999565488225982
227.4918,8.0,0.994,-2.2192351340136693
227.9918,0.0,0.005,2.298853076409707
228.0918,0.0,0.002,2.6981005456233897
228.19180000000003,0.0,0.004,2.3961993470957363
228.29180000000002,0.0,0.005,2.298853076409707
236.79180000000002,0.0,0.009,2.0418311450459505
237.4918,8.0,0.993,-2.151851208481124
239.69180000000003,8.0,0.993,-2.151851208481124
239.79180000000002,8.0,0.992,-2.0934216851622347
243.89180000000002,0.0,0.004,2.3961993470957363
246.5918,7.0,0.995,-2.2988530764097064
263.4918,8.0,0.991,-2.04183114504595
264.1918,8.0,0.991,-2.04183114504595
264.29179999999997,8.0,0.992,-2.0934216851622347
264.3918,9.0,0.996,-2.396199347095736
264.4918,9.0,0.997,-2.521573903591993
280.5918,7.0,0.993,-2.151851208481124
297.79179999999997,7.0,0.993,-2.151851208481124
297.8918,7.0,0.992,-2.0934216851622347
301.6918,7.0,0.991,-2.04183114504595
303.3918,0.0,0.006,2.21923513401367
327.2918,0.0,0.009,2.0418311450459505
327.4918,0.0,0.009,2.0418311450459505
329.2918,8.0,0.999,-2.999565488225982
329.3918,9.0,0.999,-2.999565488225982
329.4918,10.0,0.999,-2.999565488225982
329.5918,8.0,0.997,-2.521573903591993
329.7918,7.0,0.997,-2.521573903591993
347.9918,10.0,0.999,-2.999565488225982
348.0918,9.0,0.999,-2.999565488225982
