,Activity-levels,Local_p,Surprise
0.6550000000000001,8.0,0.9975,-2.6009728956867577
0.7550000000000001,8.0,0.9975,-2.6009728956867577
0.8550000000000001,9.0,0.9995,-3.3008127941181646
0.9550000000000001,9.0,0.9995,-3.3008127941181646
1.055,9.0,0.9995,-3.3008127941181646
1.155,9.0,0.9995,-3.3008127941181646
1.2550000000000001,9.0,0.9985,-2.823256810151056
1.455,9.0,0.9995,-3.3008127941181646
1.555,8.0,0.9965,-2.4544092586862374
1.655,8.0,0.9965,-2.4544092586862374
5.255,0.0,0.008,2.093421685162235
5.355,0.0,0.0075,2.1216692520434526
9.755,6.0,0.998,-2.6981005456233897
9.855,6.0,0.9995,-3.3008127941181646
15.055,7.0,0.9995,-3.3008127941181646
15.155000000000001,6.0,0.9955,-2.3448287505880896
15.455,6.0,0.993,-2.151851208481124
15.555,6.0,0.9925,-2.1216692520434557
18.155,6.0,0.991,-2.04183114504595
22.455000000000002,6.0,0.9935,-2.1842545148029817
22.755000000000003,6.0,0.9945,-2.2572420979662144
24.555,6.0,0.9965,-2.4544092586862374
37.455,7.0,0.998,-2.6981005456233897
37.555,7.0,0.9985,-2.823256810151056
37.655,7.0,0.999,-2.999565488225982
37.755,7.0,0.9985,-2.823256810151056
37.855000000000004,7.0,0.997,-2.521573903591993
42.355000000000004,7.0,0.9955,-2.3448287505880896
42.455000000000005,7.0,0.9975,-2.6009728956867577
42.855000000000004,6.0,0.9905,-2.0181308745857205
42.955000000000005,7.0,0.9985,-2.823256810151056
44.655,6.0,0.9925,-2.1216692520434557
44.755,6.0,0.997,-2.521573903591993
44.855000000000004,6.0,0.995,-2.2988530764097064
60.855000000000004,5.0,0.9905,-2.0181308745857205
61.055,6.0,0.9985,-2.823256810151056
61.155,6.0,0.9995,-3.3008127941181646
61.255,5.0,0.993,-2.151851208481124
61.355000000000004,5.0,0.992,-2.0934216851622347
79.555,6.0,0.9935,-2.1842545148029817
79.65500000000002,6.0,0.9925,-2.1216692520434557
89.555,6.0,0.9995,-3.3008127941181646
89.65500000000002,5.0,0.996,-2.396199347095736
89.95500000000001,5.0,0.9905,-2.0181308745857205
94.65500000000002,6.0,0.9985,-2.823256810151056
94.75500000000001,7.0,0.9995,-3.3008127941181646
94.85500000000002,7.0,0.9995,-3.3008127941181646
94.95500000000001,7.0,0.9995,-3.3008127941181646
95.055,6.0,0.9995,-3.3008127941181646
95.15500000000002,5.0,0.992,-2.0934216851622347
96.85500000000002,6.0,0.9975,-2.6009728956867577
100.95500000000001,6.0,0.9955,-2.3448287505880896
123.85500000000002,6.0,0.996,-2.396199347095736
123.95500000000001,7.0,0.9985,-2.823256810151056
124.055,6.0,0.995,-2.2988530764097064
136.75500000000002,6.0,0.9905,-2.0181308745857205
143.75500000000002,6.0,0.9955,-2.3448287505880896
150.25500000000002,6.0,0.9935,-2.1842545148029817
150.455,6.0,0.995,-2.2988530764097064
150.555,7.0,0.9995,-3.3008127941181646
150.655,6.0,0.995,-2.2988530764097064
151.055,6.0,0.995,-2.2988530764097064
153.75500000000002,6.0,0.9905,-2.0181308745857205
153.85500000000002,6.0,0.992,-2.0934216851622347
153.955,6.0,0.9905,-2.0181308745857205
157.35500000000002,6.0,0.996,-2.396199347095736
166.35500000000002,7.0,0.9985,-2.823256810151056
166.555,7.0,0.9985,-2.823256810151056
173.15500000000003,6.0,0.9915,-2.0668737928270313
179.35500000000002,6.0,0.9905,-2.0181308745857205
188.055,6.0,0.9915,-2.0668737928270313
188.15500000000003,7.0,0.9995,-3.3008127941181646
188.25500000000002,6.0,0.993,-2.151851208481124
192.555,6.0,0.9905,-2.0181308745857205
194.455,6.0,0.9955,-2.3448287505880896
206.25500000000002,6.0,0.9955,-2.3448287505880896
206.35500000000002,6.0,0.995,-2.2988530764097064
206.455,6.0,0.994,-2.2192351340136693
210.15500000000003,6.0,0.997,-2.521573903591993
210.25500000000002,6.0,0.997,-2.521573903591993
220.85500000000002,6.0,0.999,-2.999565488225982
220.955,5.0,0.991,-2.04183114504595
221.055,5.0,0.9915,-2.0668737928270313
226.85500000000002,6.0,0.991,-2.04183114504595
232.555,7.0,0.995,-2.2988530764097064
237.35500000000002,7.0,0.9975,-2.6009728956867577
237.455,8.0,0.999,-2.999565488225982
237.555,8.0,0.999,-2.999565488225982
237.65500000000003,8.0,0.9995,-3.3008127941181646
251.15500000000003,6.0,0.9955,-2.3448287505880896
251.25500000000002,6.0,0.9955,-2.3448287505880896
251.35500000000002,6.0,0.9975,-2.6009728956867577
251.455,6.0,0.9975,-2.6009728956867577
265.255,7.0,0.991,-2.04183114504595
281.95500000000004,6.0,0.9935,-2.1842545148029817
282.055,7.0,0.999,-2.999565488225982
282.15500000000003,6.0,0.9955,-2.3448287505880896
282.255,6.0,0.996,-2.396199347095736
282.355,6.0,0.998,-2.6981005456233897
289.15500000000003,6.0,0.9925,-2.1216692520434557
289.255,6.0,0.991,-2.04183114504595
289.355,6.0,0.9935,-2.1842545148029817
289.45500000000004,7.0,0.999,-2.999565488225982
294.95500000000004,7.0,0.9955,-2.3448287505880896
295.055,7.0,0.995,-2.2988530764097064
295.15500000000003,7.0,0.996,-2.396199347095736
299.15500000000003,7.0,0.9925,-2.1216692520434557
299.255,8.0,0.999,-2.999565488225982
299.355,8.0,0.999,-2.999565488225982
299.45500000000004,8.0,0.9985,-2.823256810151056
299.555,7.0,0.992,-2.0934216851622347
304.755,6.0,0.9915,-2.0668737928270313
311.75500000000005,6.0,0.9905,-2.0181308745857205
311.855,7.0,0.9995,-3.3008127941181646
311.95500000000004,7.0,0.9995,-3.3008127941181646
340.855,7.0,0.9955,-2.3448287505880896
346.055,6.0,0.9905,-2.0181308745857205
346.15500000000003,6.0,0.9915,-2.0668737928270313
346.25500000000005,6.0,0.9945,-2.2572420979662144
347.65500000000003,7.0,0.9975,-2.6009728956867577
347.855,6.0,0.9925,-2.1216692520434557
368.855,7.0,0.9965,-2.4544092586862374
368.95500000000004,7.0,0.9955,-2.3448287505880896
372.45500000000004,7.0,0.9945,-2.2572420979662144
372.555,8.0,0.9995,-3.3008127941181646
372.65500000000003,7.0,0.994,-2.2192351340136693
375.65500000000003,7.0,0.9915,-2.0668737928270313
375.75500000000005,8.0,0.9985,-2.823256810151056
375.855,7.0,0.9925,-2.1216692520434557
376.055,7.0,0.991,-2.04183114504595
389.15500000000003,5.0,0.994,-2.2192351340136693
389.25500000000005,5.0,0.9945,-2.2572420979662144
389.355,5.0,0.993,-2.151851208481124
389.45500000000004,5.0,0.9915,-2.0668737928270313
