,Activity-levels,Local_p,Surprise
0.6550000000000001,9.0,0.9965,-2.4544092586862374
0.7550000000000001,9.0,0.996,-2.396199347095736
0.8550000000000001,11.0,0.9995,-3.3008127941181646
0.9550000000000001,11.0,0.9995,-3.3008127941181646
1.055,11.0,0.9995,-3.3008127941181646
1.155,11.0,0.9995,-3.3008127941181646
1.2550000000000001,10.0,0.999,-2.999565488225982
1.455,10.0,0.9995,-3.3008127941181646
1.555,9.0,0.995,-2.2988530764097064
1.655,9.0,0.9955,-2.3448287505880896
15.055,8.0,0.9975,-2.6009728956867577
15.455,9.0,0.9995,-3.3008127941181646
15.555,9.0,0.9995,-3.3008127941181646
15.655000000000001,8.0,0.997,-2.521573903591993
15.755,8.0,0.997,-2.521573903591993
15.855,7.0,0.993,-2.151851208481124
17.355,0.0,0.004,2.3961993470957363
17.455000000000002,0.0,0.005,2.298853076409707
18.155,8.0,0.9955,-2.3448287505880896
22.155,8.0,0.997,-2.521573903591993
22.455000000000002,8.0,0.9985,-2.823256810151056
24.055,7.0,0.9925,-2.1216692520434557
24.155,7.0,0.9915,-2.0668737928270313
26.755000000000003,0.0,0.009,2.0418311450459505
37.455,9.0,0.999,-2.999565488225982
37.555,9.0,0.9985,-2.823256810151056
37.655,9.0,0.999,-2.999565488225982
37.755,8.0,0.993,-2.151851208481124
37.855000000000004,8.0,0.991,-2.04183114504595
40.555,0.0,0.0045,2.3448287505880847
44.755,8.0,0.9975,-2.6009728956867577
44.855000000000004,8.0,0.998,-2.6981005456233897
47.555,0.0,0.007,2.1518512084811245
47.655,0.0,0.009,2.0418311450459505
50.355000000000004,7.0,0.995,-2.2988530764097064
60.755,7.0,0.997,-2.521573903591993
60.855000000000004,7.0,0.996,-2.396199347095736
60.955000000000005,7.0,0.9955,-2.3448287505880896
61.055,7.0,0.9965,-2.4544092586862374
67.95500000000001,6.0,0.993,-2.151851208481124
68.055,6.0,0.992,-2.0934216851622347
85.85500000000002,0.0,0.009,2.0418311450459505
89.555,8.0,0.9985,-2.823256810151056
89.65500000000002,7.0,0.995,-2.2988530764097064
89.95500000000001,7.0,0.992,-2.0934216851622347
94.65500000000002,8.0,0.999,-2.999565488225982
94.75500000000001,10.0,0.9995,-3.3008127941181646
94.85500000000002,10.0,0.9995,-3.3008127941181646
94.95500000000001,10.0,0.9995,-3.3008127941181646
95.055,9.0,0.9995,-3.3008127941181646
95.15500000000002,8.0,0.9995,-3.3008127941181646
95.25500000000001,7.0,0.9945,-2.2572420979662144
97.95500000000001,0.0,0.008,2.093421685162235
98.055,0.0,0.006,2.21923513401367
100.95500000000001,8.0,0.9975,-2.6009728956867577
109.75500000000001,0.0,0.0065,2.1842545148029786
112.055,7.0,0.9905,-2.0181308745857205
119.15500000000002,7.0,0.993,-2.151851208481124
119.25500000000001,8.0,0.9985,-2.823256810151056
119.35500000000002,7.0,0.991,-2.04183114504595
