,Activity-levels,Local_p,Surprise
0.6550000000000001,8.0,0.999,-2.999565488225982
0.7550000000000001,8.0,0.998,-2.6981005456233897
0.8550000000000001,9.0,0.999,-2.999565488225982
0.9550000000000001,9.0,0.9995,-3.3008127941181646
1.055,9.0,0.9995,-3.3008127941181646
1.155,9.0,0.9995,-3.3008127941181646
1.2550000000000001,9.0,0.9995,-3.3008127941181646
1.455,9.0,0.9995,-3.3008127941181646
1.555,8.0,0.9975,-2.6009728956867577
1.655,8.0,0.9955,-2.3448287505880896
5.255,0.0,0.009,2.0418311450459505
5.355,0.0,0.009,2.0418311450459505
5.455,0.0,0.0075,2.1216692520434526
5.555,0.0,0.0095,2.0181308745857183
9.655000000000001,5.0,0.9905,-2.0181308745857205
9.755,6.0,0.9995,-3.3008127941181646
9.855,6.0,0.9985,-2.823256810151056
15.055,7.0,0.9985,-2.823256810151056
15.155000000000001,6.0,0.9925,-2.1216692520434557
15.455,6.0,0.9955,-2.3448287505880896
15.555,6.0,0.993,-2.151851208481124
18.155,6.0,0.991,-2.04183114504595
22.455000000000002,6.0,0.995,-2.2988530764097064
22.755000000000003,6.0,0.9955,-2.3448287505880896
24.555,6.0,0.9965,-2.4544092586862374
37.455,7.0,0.9965,-2.4544092586862374
37.555,7.0,0.996,-2.396199347095736
37.655,7.0,0.996,-2.396199347095736
37.755,7.0,0.9945,-2.2572420979662144
37.855000000000004,7.0,0.995,-2.2988530764097064
42.355000000000004,7.0,0.9955,-2.3448287505880896
42.455000000000005,7.0,0.997,-2.521573903591993
42.955000000000005,7.0,0.998,-2.6981005456233897
44.655,6.0,0.9965,-2.4544092586862374
44.755,6.0,0.9945,-2.2572420979662144
44.855000000000004,6.0,0.9955,-2.3448287505880896
60.755,5.0,0.9915,-2.0668737928270313
60.855000000000004,5.0,0.9935,-2.1842545148029817
60.955000000000005,5.0,0.993,-2.151851208481124
61.055,6.0,0.9975,-2.6009728956867577
61.155,6.0,0.999,-2.999565488225982
61.255,5.0,0.9915,-2.0668737928270313
61.355000000000004,5.0,0.9905,-2.0181308745857205
79.555,6.0,0.9955,-2.3448287505880896
79.65500000000002,6.0,0.995,-2.2988530764097064
89.555,6.0,0.9995,-3.3008127941181646
89.65500000000002,5.0,0.995,-2.2988530764097064
89.95500000000001,5.0,0.9915,-2.0668737928270313
94.65500000000002,6.0,0.998,-2.6981005456233897
94.75500000000001,7.0,0.9995,-3.3008127941181646
94.85500000000002,7.0,0.9995,-3.3008127941181646
94.95500000000001,7.0,0.999,-2.999565488225982
95.055,6.0,0.998,-2.6981005456233897
96.85500000000002,6.0,0.9965,-2.4544092586862374
100.95500000000001,6.0,0.9945,-2.2572420979662144
123.85500000000002,6.0,0.996,-2.396199347095736
123.95500000000001,7.0,0.9995,-3.3008127941181646
124.055,6.0,0.997,-2.521573903591993
143.75500000000002,6.0,0.9935,-2.1842545148029817
150.25500000000002,6.0,0.9905,-2.0181308745857205
150.455,6.0,0.993,-2.151851208481124
150.555,7.0,0.997,-2.521573903591993
150.655,6.0,0.993,-2.151851208481124
151.055,6.0,0.9935,-2.1842545148029817
153.75500000000002,6.0,0.992,-2.0934216851622347
153.85500000000002,6.0,0.995,-2.2988530764097064
153.955,6.0,0.992,-2.0934216851622347
157.35500000000002,6.0,0.993,-2.151851208481124
166.35500000000002,7.0,0.9975,-2.6009728956867577
166.555,7.0,0.998,-2.6981005456233897
166.65500000000003,6.0,0.9905,-2.0181308745857205
173.15500000000003,6.0,0.9915,-2.0668737928270313
188.15500000000003,7.0,0.998,-2.6981005456233897
188.25500000000002,6.0,0.9915,-2.0668737928270313
192.555,6.0,0.9935,-2.1842545148029817
194.455,6.0,0.992,-2.0934216851622347
206.25500000000002,6.0,0.9925,-2.1216692520434557
206.35500000000002,6.0,0.9945,-2.2572420979662144
206.455,6.0,0.994,-2.2192351340136693
210.15500000000003,6.0,0.996,-2.396199347095736
210.25500000000002,6.0,0.9985,-2.823256810151056
220.85500000000002,6.0,0.999,-2.999565488225982
221.055,5.0,0.9905,-2.0181308745857205
232.555,7.0,0.994,-2.2192351340136693
237.35500000000002,7.0,0.996,-2.396199347095736
237.455,8.0,0.9995,-3.3008127941181646
