,Activity-levels,Local_p,Surprise
0.6918000000000001,2.0,0.992,-2.0934216851622347
3.1918,2.0,0.993,-2.151851208481124
5.5918,3.0,0.999,-2.999565488225982
8.3918,2.0,0.992,-2.0934216851622347
9.9918,2.0,0.995,-2.2988530764097064
13.8918,2.0,0.993,-2.151851208481124
15.5918,2.0,0.997,-2.521573903591993
16.9918,2.0,0.993,-2.151851208481124
23.0918,3.0,0.999,-2.999565488225982
24.4918,2.0,0.993,-2.151851208481124
27.291800000000002,4.0,0.999,-2.999565488225982
38.991800000000005,2.0,0.997,-2.521573903591993
41.5918,3.0,0.999,-2.999565488225982
42.5918,2.0,0.993,-2.151851208481124
46.0918,2.0,0.991,-2.04183114504595
48.6918,2.0,0.992,-2.0934216851622347
49.2918,3.0,0.998,-2.6981005456233897
49.491800000000005,2.0,0.992,-2.0934216851622347
57.0918,2.0,0.991,-2.04183114504595
57.5918,3.0,0.999,-2.999565488225982
60.8918,3.0,0.999,-2.999565488225982
61.2918,2.0,0.991,-2.04183114504595
62.491800000000005,2.0,0.994,-2.2192351340136693
63.6918,2.0,0.991,-2.04183114504595
67.8918,2.0,0.991,-2.04183114504595
68.69180000000001,2.0,0.993,-2.151851208481124
77.29180000000001,2.0,0.993,-2.151851208481124
80.29180000000001,2.0,0.992,-2.0934216851622347
83.0918,2.0,0.992,-2.0934216851622347
85.19180000000001,2.0,0.994,-2.2192351340136693
85.49180000000001,2.0,0.991,-2.04183114504595
104.79180000000001,2.0,0.996,-2.396199347095736
105.0918,2.0,0.995,-2.2988530764097064
111.49180000000001,2.0,0.995,-2.2988530764097064
112.39180000000002,2.0,0.993,-2.151851208481124
112.79180000000001,2.0,0.993,-2.151851208481124
113.0918,2.0,0.992,-2.0934216851622347
113.29180000000001,2.0,0.993,-2.151851208481124
116.69180000000001,3.0,0.999,-2.999565488225982
126.49180000000001,3.0,0.999,-2.999565488225982
128.89180000000002,3.0,0.998,-2.6981005456233897
129.39180000000002,3.0,0.999,-2.999565488225982
132.39180000000002,5.0,0.999,-2.999565488225982
141.6918,3.0,0.997,-2.521573903591993
146.1918,2.0,0.993,-2.151851208481124
150.89180000000002,2.0,0.993,-2.151851208481124
150.9918,2.0,0.992,-2.0934216851622347
152.29180000000002,3.0,0.999,-2.999565488225982
154.19180000000003,2.0,0.995,-2.2988530764097064
161.29180000000002,3.0,0.999,-2.999565488225982
167.9918,3.0,0.999,-2.999565488225982
168.4918,2.0,0.994,-2.2192351340136693
169.9918,2.0,0.995,-2.2988530764097064
171.79180000000002,3.0,0.999,-2.999565488225982
172.89180000000002,3.0,0.999,-2.999565488225982
181.0918,3.0,0.999,-2.999565488225982
181.4918,4.0,0.999,-2.999565488225982
187.4918,2.0,0.991,-2.04183114504595
196.69180000000003,2.0,0.995,-2.2988530764097064
203.0918,2.0,0.994,-2.2192351340136693
204.4918,2.0,0.992,-2.0934216851622347
213.89180000000002,2.0,0.995,-2.2988530764097064
214.4918,3.0,0.999,-2.999565488225982
218.19180000000003,3.0,0.997,-2.521573903591993
223.89180000000002,3.0,0.999,-2.999565488225982
225.29180000000002,3.0,0.994,-2.2192351340136693
226.19180000000003,3.0,0.999,-2.999565488225982
227.29180000000002,3.0,0.997,-2.521573903591993
232.19180000000003,3.0,0.999,-2.999565488225982
233.0918,3.0,0.999,-2.999565488225982
239.29180000000002,3.0,0.998,-2.6981005456233897
255.89180000000002,2.0,0.992,-2.0934216851622347
261.4918,3.0,0.994,-2.2192351340136693
263.8918,3.0,0.992,-2.0934216851622347
264.1918,3.0,0.995,-2.2988530764097064
272.29179999999997,2.0,0.993,-2.151851208481124
274.29179999999997,3.0,0.999,-2.999565488225982
277.4918,3.0,0.999,-2.999565488225982
280.29179999999997,3.0,0.997,-2.521573903591993
282.4918,2.0,0.991,-2.04183114504595
282.9918,2.0,0.992,-2.0934216851622347
284.79179999999997,3.0,0.999,-2.999565488225982
287.79179999999997,2.0,0.993,-2.151851208481124
287.9918,2.0,0.994,-2.2192351340136693
297.3918,2.0,0.991,-2.04183114504595
297.5918,4.0,0.999,-2.999565488225982
301.3918,3.0,0.999,-2.999565488225982
302.6918,3.0,0.999,-2.999565488225982
305.79179999999997,3.0,0.999,-2.999565488225982
306.6918,3.0,0.996,-2.396199347095736
318.5918,2.0,0.993,-2.151851208481124
328.0918,3.0,0.999,-2.999565488225982
344.6918,3.0,0.994,-2.2192351340136693
345.1918,3.0,0.994,-2.2192351340136693
347.7918,3.0,0.995,-2.2988530764097064
353.4918,3.0,0.999,-2.999565488225982
355.5918,4.0,0.999,-2.999565488225982
