"participant" "timestamp" "task"
1 54.3171 "listening"
1 118.9117 "listening"
1 131.1441 "listening"
1 164.3414 "listening"
1 176.957 "listening"
1 192.3891 "listening"
1 210.4209 "listening"
1 224.0698 "listening"
1 252.0841 "listening"
1 258.9835 "listening"
1 261.75 "listening"
1 302.8132 "listening"
1 319.6452 "listening"
1 333.9274 "listening"
1 339.9768 "listening"
2 0.5688 "listening"
2 2.3092 "listening"
2 3.7591 "listening"
2 5.6256 "listening"
2 7.3828 "listening"
2 10.9657 "listening"
2 15.0488 "listening"
2 16.632 "listening"
2 20.4651 "listening"
2 21.865 "listening"
2 25.4647 "listening"
2 36.0639 "listening"
2 37.4138 "listening"
2 39.3637 "listening"
2 40.7802 "listening"
2 42.8135 "listening"
2 45.1798 "listening"
2 49.9295 "listening"
2 53.046 "listening"
2 58.5027 "listening"
2 59.9527 "listening"
2 66.6261 "listening"
2 74.1588 "listening"
2 79.1252 "listening"
2 80.375 "listening"
2 82.3416 "listening"
2 89.9077 "listening"
2 94.6906 "listening"
2 100.9735 "listening"
2 103.9566 "listening"
2 105.7065 "listening"
2 112.9559 "listening"
2 116.689 "listening"
2 120.472 "listening"
2 132.5878 "listening"
2 133.7617 "listening"
2 135.0115 "listening"
2 139.1352 "listening"
2 140.4184 "listening"
2 142.6181 "listening"
2 144.0847 "listening"
2 145.368 "listening"
2 150.4509 "listening"
2 152.4841 "listening"
2 156.8005 "listening"
2 157.6671 "listening"
2 159.6503 "listening"
2 166.8903 "listening"
2 170.1806 "listening"
2 171.5139 "listening"
2 172.8209 "listening"
2 179.0039 "listening"
2 180.4371 "listening"
2 182.2275 "listening"
2 186.5844 "listening"
2 187.9676 "listening"
2 190.2675 "listening"
2 194.7172 "listening"
2 196.6836 "listening"
2 198.8574 "listening"
2 202.9071 "listening"
2 205.8402 "listening"
2 211.8064 "listening"
2 213.173 "listening"
2 214.0396 "listening"
2 221.6056 "listening"
2 222.5889 "listening"
2 226.672 "listening"
2 228.0886 "listening"
2 229.4884 "listening"
2 230.9622 "listening"
2 233.1287 "listening"
2 235.0786 "listening"
2 239.4949 "listening"
2 240.3781 "listening"
2 241.3447 "listening"
2 242.878 "listening"
2 251.094 "listening"
2 253.2606 "listening"
2 256.8103 "listening"
2 259.8934 "listening"
2 260.9433 "listening"
2 265.4263 "listening"
2 267.9262 "listening"
2 269.3927 "listening"
2 271.0759 "listening"
2 273.5257 "listening"
2 274.659 "listening"
2 278.5253 "listening"
2 280.5085 "listening"
2 283.0084 "listening"
2 285.7581 "listening"
2 288.8153 "listening"
2 291.8388 "listening"
2 294.2887 "listening"
2 294.5054 "listening"
2 296.4553 "listening"
2 298.8884 "listening"
2 301.1216 "listening"
2 311.9041 "listening"
2 315.0038 "listening"
2 318.5203 "listening"
2 320.2201 "listening"
2 322.9532 "listening"
2 325.0031 "listening"
2 326.3697 "listening"
2 327.7695 "listening"
2 329.9694 "listening"
2 330.7694 "listening"
2 333.1358 "listening"
2 338.452 "listening"
2 340.7186 "listening"
2 341.6685 "listening"
2 342.5185 "listening"
2 347.2681 "listening"
2 357.1007 "listening"
2 360.1004 "listening"
2 362.0503 "listening"
2 364.9335 "listening"
2 367.0666 "listening"
2 369.4164 "listening"
2 372.1329 "listening"
2 374.166 "listening"
2 375.6733 "listening"
2 378.0564 "listening"
2 379.3562 "listening"
2 381.7561 "listening"
2 383.3559 "listening"
2 384.6725 "listening"
2 386.0224 "listening"
2 390.7055 "listening"
2 395.4217 "listening"
3 0.7363 "listening"
3 1.1863 "listening"
3 2.5029 "listening"
3 5.8692 "listening"
3 7.3525 "listening"
3 7.8357 "listening"
3 8.8691 "listening"
3 9.5857 "listening"
3 10.4689 "listening"
3 11.1188 "listening"
3 12.302 "listening"
3 12.9354 "listening"
3 14.7353 "listening"
3 15.1852 "listening"
3 17.7183 "listening"
3 18.8683 "listening"
3 19.5682 "listening"
3 20.8182 "listening"
3 21.6848 "listening"
3 22.3514 "listening"
3 22.9679 "listening"
3 23.7679 "listening"
3 24.5511 "listening"
3 25.2845 "listening"
3 26.851 "listening"
3 27.7676 "listening"
3 29.8675 "listening"
3 31.8507 "listening"
3 32.9339 "listening"
3 34.5504 "listening"
3 35.4504 "listening"
3 36.317 "listening"
3 38.7335 "listening"
3 39.9001 "listening"
3 41.7332 "listening"
3 42.9664 "listening"
3 44.4997 "listening"
3 46.0495 "listening"
3 46.8661 "listening"
3 48.1827 "listening"
3 49.366 "listening"
3 50.116 "listening"
3 51.0492 "listening"
3 53.0824 "listening"
3 55.4822 "listening"
3 57.332 "listening"
3 60.1985 "listening"
3 64.0816 "listening"
3 65.4982 "listening"
3 69.2811 "listening"
3 70.2311 "listening"
3 71.1477 "listening"
3 72.2976 "listening"
3 74.2142 "listening"
3 76.2473 "listening"
3 78.1972 "listening"
3 79.0971 "listening"
3 80.2304 "listening"
3 81.2802 "listening"
3 83.3468 "listening"
3 84.8801 "listening"
3 85.9467 "listening"
3 87.0465 "listening"
3 88.9297 "listening"
3 90.9129 "listening"
3 91.6795 "listening"
3 93.3793 "listening"
3 94.7793 "listening"
3 96.5792 "listening"
3 98.379 "listening"
3 99.3789 "listening"
3 101.5288 "listening"
3 106.6783 "listening"
3 108.2449 "listening"
3 111.0448 "listening"
3 120.294 "listening"
3 125.5602 "listening"
3 126.6268 "listening"
3 127.9768 "listening"
3 128.9267 "listening"
3 129.6933 "listening"
3 130.4099 "listening"
3 131.3099 "listening"
3 132.1265 "listening"
3 134.793 "listening"
3 135.6929 "listening"
3 136.7428 "listening"
3 137.4427 "listening"
3 138.2261 "listening"
3 140.4258 "listening"
3 141.5592 "listening"
3 142.3424 "listening"
3 143.059 "listening"
3 145.6089 "listening"
3 146.3421 "listening"
3 147.892 "listening"
3 149.0753 "listening"
3 149.9085 "listening"
3 150.9251 "listening"
3 152.4083 "listening"
3 153.3749 "listening"
3 156.0581 "listening"
3 157.358 "listening"
3 158.4245 "listening"
3 160.0911 "listening"
3 161.7409 "listening"
3 166.2406 "listening"
3 168.0737 "listening"
3 169.307 "listening"
3 170.2236 "listening"
3 171.5236 "listening"
3 172.5902 "listening"
3 173.8567 "listening"
3 174.8733 "listening"
3 176.2565 "listening"
3 177.8731 "listening"
3 179.8896 "listening"
3 180.9062 "listening"
3 182.2727 "listening"
3 183.2893 "listening"
3 184.8059 "listening"
3 186.1058 "listening"
3 187.7723 "listening"
3 189.1722 "listening"
3 190.8721 "listening"
3 192.2722 "listening"
3 194.4718 "listening"
3 195.4051 "listening"
3 196.7717 "listening"
3 198.6381 "listening"
3 201.9046 "listening"
3 203.4378 "listening"
3 209.6206 "listening"
3 211.1039 "listening"
3 213.7703 "listening"
3 217.6534 "listening"
3 220.6365 "listening"
3 223.003 "listening"
3 224.1196 "listening"
3 225.0696 "listening"
3 226.2694 "listening"
3 227.7527 "listening"
3 228.8193 "listening"
3 229.8525 "listening"
3 231.919 "listening"
3 233.2856 "listening"
3 234.4355 "listening"
3 235.2688 "listening"
3 237.2519 "listening"
3 238.7352 "listening"
3 241.0516 "listening"
3 242.0516 "listening"
3 243.7681 "listening"
3 247.3346 "listening"
3 249.5177 "listening"
3 250.8675 "listening"
3 254.2006 "listening"
3 256.3338 "listening"
3 257.6171 "listening"
3 258.9837 "listening"
3 261.5168 "listening"
3 262.5834 "listening"
3 265.0165 "listening"
3 267.6497 "listening"
3 268.5496 "listening"
3 269.8162 "listening"
3 272.216 "listening"
3 273.6825 "listening"
