"participant" "timestamp" "task"
5 225.0293 "listening"
5 232.7952 "listening"
5 237.0616 "listening"
5 239.3114 "listening"
5 240.4779 "listening"
6 0.3257 "listening"
6 0.859 "listening"
6 1.059 "listening"
6 1.6923 "listening"
6 3.3922 "listening"
6 4.2587 "listening"
6 5.4253 "listening"
6 5.8419 "listening"
6 6.6753 "listening"
6 7.0752 "listening"
6 8.575 "listening"
6 9.0417 "listening"
6 9.6083 "listening"
6 12.358 "listening"
6 13.4246 "listening"
6 16.6077 "listening"
6 17.5076 "listening"
6 18.3576 "listening"
6 20.5407 "listening"
6 25.1736 "listening"
6 30.5565 "listening"
6 31.8897 "listening"
6 33.3729 "listening"
6 33.9562 "listening"
6 34.6728 "listening"
6 35.5561 "listening"
6 36.1394 "listening"
6 40.9223 "listening"
6 48.2383 "listening"
6 52.6546 "listening"
6 55.721 "listening"
6 59.5207 "listening"
6 60.4206 "listening"
6 66.1034 "listening"
6 66.97 "listening"
6 68.12 "listening"
6 72.5862 "listening"
6 83.902 "listening"
6 84.9851 "listening"
6 86.2351 "listening"
6 87.9182 "listening"
6 91.9846 "listening"
6 93.9512 "listening"
6 94.601 "listening"
6 95.2843 "listening"
6 95.8509 "listening"
6 96.4343 "listening"
6 96.9509 "listening"
6 97.5341 "listening"
6 99.034 "listening"
6 99.6673 "listening"
6 102.5171 "listening"
6 104.0169 "listening"
6 104.6168 "listening"
6 105.1835 "listening"
6 105.6334 "listening"
6 106.2168 "listening"
6 107.7167 "listening"
6 108.5832 "listening"
6 110.4997 "listening"
6 110.9996 "listening"
6 111.6829 "listening"
6 112.5329 "listening"
6 112.9329 "listening"
6 113.6327 "listening"
6 123.0987 "listening"
6 128.9315 "listening"
6 139.6305 "listening"
6 144.4635 "listening"
6 149.913 "listening"
6 155.6125 "listening"
6 156.0959 "listening"
6 165.2117 "listening"
6 168.3948 "listening"
6 169.1948 "listening"
6 170.7779 "listening"
6 171.3945 "listening"
6 172.0611 "listening"
6 174.011 "listening"
6 174.511 "listening"
6 176.1941 "listening"
6 182.0769 "listening"
6 182.7935 "listening"
6 184.4934 "listening"
6 190.3096 "listening"
6 195.1092 "listening"
6 195.6424 "listening"
6 195.859 "listening"
6 196.409 "listening"
6 196.7924 "listening"
6 197.1423 "listening"
6 197.7089 "listening"
6 199.5089 "listening"
6 202.6086 "listening"
6 203.1085 "listening"
6 203.7917 "listening"
6 204.2917 "listening"
6 205.9249 "listening"
6 206.2916 "listening"
6 206.7582 "listening"
6 213.6243 "listening"
6 224.69 "listening"
6 226.1732 "listening"
6 226.9231 "listening"
6 227.8064 "listening"
6 228.323 "listening"
6 228.8396 "listening"
6 229.1062 "listening"
6 229.7395 "listening"
6 230.4228 "listening"
6 230.7895 "listening"
6 231.1227 "listening"
6 232.006 "listening"
6 232.3227 "listening"
6 232.6893 "listening"
6 233.156 "listening"
6 234.0392 "listening"
6 234.3891 "listening"
6 234.9891 "listening"
6 236.1723 "listening"
6 236.4389 "listening"
6 236.9556 "listening"
6 237.3389 "listening"
6 237.9055 "listening"
6 238.1054 "listening"
6 239.3054 "listening"
6 239.9387 "listening"
6 240.822 "listening"
6 241.5551 "listening"
6 242.4885 "listening"
6 243.2384 "listening"
6 243.655 "listening"
6 244.1216 "listening"
6 245.4882 "listening"
6 252.7543 "listening"
6 253.2709 "listening"
6 253.7542 "listening"
6 254.4041 "listening"
6 254.904 "listening"
6 255.6206 "listening"
6 256.2873 "listening"
6 256.7373 "listening"
7 0.3665 "listening"
7 0.7164 "listening"
7 1.4997 "listening"
7 2.7996 "listening"
7 4.7328 "listening"
7 5.366 "listening"
7 6.466 "listening"
7 7.2492 "listening"
7 8.6325 "listening"
7 9.6991 "listening"
7 10.9989 "listening"
7 11.7488 "listening"
7 13.1334 "listening"
7 13.9487 "listening"
7 14.5653 "listening"
7 17.3984 "listening"
7 22.8646 "listening"
7 25.5477 "listening"
7 30.3139 "listening"
7 32.7638 "listening"
7 34.3636 "listening"
7 35.0801 "listening"
7 41.1631 "listening"
7 43.6794 "listening"
7 47.2958 "listening"
7 48.0624 "listening"
7 48.5957 "listening"
7 50.0456 "listening"
7 52.0621 "listening"
7 57.2283 "listening"
7 63.6778 "listening"
7 66.4609 "listening"
7 68.2607 "listening"
7 69.0606 "listening"
7 70.1272 "listening"
7 70.7104 "listening"
7 71.3271 "listening"
7 72.2104 "listening"
7 72.9769 "listening"
7 76.6266 "listening"
7 77.7265 "listening"
7 79.7597 "listening"
7 81.7096 "listening"
