,Activity-levels,Local_p,Surprise
1.0918,6.0,0.991,-2.04183114504595
1.4918,7.0,0.996,-2.396199347095736
1.5918,7.0,0.993,-2.151851208481124
10.6918,6.0,0.995,-2.2988530764097064
23.0918,6.0,0.993,-2.151851208481124
23.1918,6.0,0.991,-2.04183114504595
23.291800000000002,6.0,0.995,-2.2988530764097064
23.3918,6.0,0.993,-2.151851208481124
23.4918,6.0,0.993,-2.151851208481124
33.8918,5.0,0.996,-2.396199347095736
33.9918,5.0,0.993,-2.151851208481124
49.491800000000005,6.0,0.998,-2.6981005456233897
49.5918,6.0,0.997,-2.521573903591993
49.6918,7.0,0.997,-2.521573903591993
49.7918,7.0,0.999,-2.999565488225982
49.8918,7.0,0.999,-2.999565488225982
49.991800000000005,6.0,0.996,-2.396199347095736
50.0918,6.0,0.993,-2.151851208481124
54.3918,0.0,0.009,2.0418311450459505
83.5918,6.0,0.998,-2.6981005456233897
83.69180000000001,6.0,0.997,-2.521573903591993
113.0918,6.0,0.998,-2.6981005456233897
120.19180000000001,6.0,0.994,-2.2192351340136693
120.49180000000001,6.0,0.994,-2.2192351340136693
120.5918,6.0,0.994,-2.2192351340136693
130.29180000000002,0.0,0.005,2.298853076409707
131.39180000000002,7.0,0.994,-2.2192351340136693
131.4918,7.0,0.995,-2.2988530764097064
141.6918,7.0,0.999,-2.999565488225982
141.79180000000002,7.0,0.999,-2.999565488225982
141.89180000000002,6.0,0.994,-2.2192351340136693
161.4918,7.0,0.999,-2.999565488225982
161.5918,7.0,0.997,-2.521573903591993
173.9918,6.0,0.991,-2.04183114504595
174.19180000000003,6.0,0.991,-2.04183114504595
181.4918,7.0,0.999,-2.999565488225982
181.69180000000003,7.0,0.998,-2.6981005456233897
181.79180000000002,7.0,0.998,-2.6981005456233897
181.89180000000002,7.0,0.996,-2.396199347095736
186.79180000000002,7.0,0.998,-2.6981005456233897
186.89180000000002,6.0,0.993,-2.151851208481124
192.39180000000002,0.0,0.009,2.0418311450459505
222.0918,7.0,0.992,-2.0934216851622347
239.9918,7.0,0.994,-2.2192351340136693
263.8918,7.0,0.998,-2.6981005456233897
263.9918,7.0,0.995,-2.2988530764097064
268.79179999999997,0.0,0.007,2.1518512084811245
280.6918,6.0,0.991,-2.04183114504595
280.8918,6.0,0.992,-2.0934216851622347
280.9918,7.0,0.999,-2.999565488225982
281.0918,6.0,0.993,-2.151851208481124
285.3918,6.0,0.996,-2.396199347095736
298.0918,6.0,0.992,-2.0934216851622347
310.2918,6.0,0.994,-2.2192351340136693
323.4918,6.0,0.992,-2.0934216851622347
323.5918,6.0,0.993,-2.151851208481124
328.8918,6.0,0.998,-2.6981005456233897
329.2918,6.0,0.995,-2.2988530764097064
329.3918,6.0,0.993,-2.151851208481124
329.4918,7.0,0.999,-2.999565488225982
329.5918,7.0,0.999,-2.999565488225982
329.6918,7.0,0.999,-2.999565488225982
335.0918,6.0,0.993,-2.151851208481124
339.9918,7.0,0.991,-2.04183114504595
347.9918,8.0,0.994,-2.2192351340136693
348.0918,8.0,0.996,-2.396199347095736
348.1918,8.0,0.998,-2.6981005456233897
348.2918,8.0,0.997,-2.521573903591993
348.3918,8.0,0.997,-2.521573903591993
355.5918,7.0,0.999,-2.999565488225982
355.6918,7.0,0.996,-2.396199347095736
355.8918,7.0,0.998,-2.6981005456233897
356.0918,7.0,0.997,-2.521573903591993
