"participant" "timestamp" "task"
5 193.1302 "listening"
5 202.6294 "listening"
5 210.9287 "listening"
5 214.9949 "listening"
5 219.8445 "listening"
5 229.7437 "listening"
6 0.2694 "listening"
6 1.3028 "listening"
6 1.6027 "listening"
6 2.4693 "listening"
6 3.3359 "listening"
6 3.9691 "listening"
6 4.4691 "listening"
6 4.8524 "listening"
6 5.169 "listening"
6 6.469 "listening"
6 6.869 "listening"
6 8.7187 "listening"
6 9.2853 "listening"
6 9.6021 "listening"
6 9.8853 "listening"
6 10.352 "listening"
6 10.8019 "listening"
6 11.2186 "listening"
6 11.5852 "listening"
6 11.9684 "listening"
6 12.3018 "listening"
6 12.6684 "listening"
6 13.0184 "listening"
6 13.435 "listening"
6 13.8183 "listening"
6 14.4183 "listening"
6 14.7349 "listening"
6 15.0849 "listening"
6 15.5515 "listening"
6 16.0348 "listening"
6 16.4181 "listening"
6 16.768 "listening"
6 17.2847 "listening"
6 17.668 "listening"
6 18.218 "listening"
6 18.6013 "listening"
6 19.1679 "listening"
6 19.6011 "listening"
6 20.3511 "listening"
6 22.8176 "listening"
6 23.2176 "listening"
6 23.9008 "listening"
6 24.8673 "listening"
6 25.4173 "listening"
6 25.9839 "listening"
6 26.5339 "listening"
6 27.0172 "listening"
6 27.5672 "listening"
6 28.1504 "listening"
6 28.6837 "listening"
6 29.1004 "listening"
6 29.6003 "listening"
6 30.3669 "listening"
6 31.9335 "listening"
6 32.3334 "listening"
6 32.65 "listening"
6 32.9834 "listening"
6 33.2666 "listening"
6 33.6166 "listening"
6 33.9999 "listening"
6 34.3999 "listening"
6 34.8999 "listening"
6 35.1665 "listening"
6 35.7665 "listening"
6 40.3327 "listening"
6 40.8493 "listening"
6 42.3159 "listening"
6 43.1825 "listening"
6 43.6492 "listening"
6 44.3324 "listening"
6 44.949 "listening"
6 45.4989 "listening"
6 46.0823 "listening"
6 46.5655 "listening"
6 46.9821 "listening"
6 47.4655 "listening"
6 49.1486 "listening"
6 49.7986 "listening"
6 51.8317 "listening"
6 52.9151 "listening"
6 53.3816 "listening"
6 54.7148 "listening"
6 55.1814 "listening"
6 55.7147 "listening"
6 56.1814 "listening"
6 56.7647 "listening"
6 57.2647 "listening"
6 57.6979 "listening"
6 58.1979 "listening"
6 61.1643 "listening"
6 62.3641 "listening"
6 63.6141 "listening"
6 64.264 "listening"
6 65.1972 "listening"
6 66.4972 "listening"
6 66.9805 "listening"
6 67.4471 "listening"
6 68.0971 "listening"
6 68.5803 "listening"
6 69.0636 "listening"
6 69.4636 "listening"
6 69.9636 "listening"
6 70.4802 "listening"
6 71.2302 "listening"
6 71.6134 "listening"
6 72.7799 "listening"
6 73.2133 "listening"
6 73.7299 "listening"
6 74.4299 "listening"
6 75.8964 "listening"
6 77.4796 "listening"
6 78.0129 "listening"
6 78.3295 "listening"
6 78.6795 "listening"
6 79.2127 "listening"
6 80.0127 "listening"
6 80.496 "listening"
6 80.8626 "listening"
6 81.4958 "listening"
6 81.9626 "listening"
6 82.2292 "listening"
6 82.8124 "listening"
6 83.1124 "listening"
6 83.5791 "listening"
6 84.0623 "listening"
6 84.5789 "listening"
6 85.2789 "listening"
6 90.2451 "listening"
6 96.4613 "listening"
6 97.2612 "listening"
6 97.6612 "listening"
6 97.9612 "listening"
6 98.3444 "listening"
6 99.1611 "listening"
6 99.5777 "listening"
6 100.1609 "listening"
6 100.6609 "listening"
6 101.1275 "listening"
6 101.5275 "listening"
6 101.9942 "listening"
6 102.3941 "listening"
6 102.7608 "listening"
6 103.2108 "listening"
6 103.6774 "listening"
6 104.0273 "listening"
6 104.7439 "listening"
6 105.2272 "listening"
6 105.8271 "listening"
6 106.3771 "listening"
6 106.8771 "listening"
6 107.477 "listening"
6 108.2102 "listening"
6 108.7436 "listening"
6 109.4768 "listening"
6 110.3101 "listening"
6 110.9267 "listening"
6 111.61 "listening"
6 112.0933 "listening"
6 112.6599 "listening"
6 113.1098 "listening"
6 113.6098 "listening"
6 126.6421 "listening"
6 127.6253 "listening"
6 133.6581 "listening"
6 134.5414 "listening"
6 135.8412 "listening"
6 136.2079 "listening"
6 136.6912 "listening"
6 137.8577 "listening"
6 138.4411 "listening"
6 139.8076 "listening"
6 140.3576 "listening"
6 140.7908 "listening"
6 142.3907 "listening"
6 144.8238 "listening"
6 145.2405 "listening"
6 145.7404 "listening"
6 146.1404 "listening"
6 146.857 "listening"
6 147.2903 "listening"
6 147.6569 "listening"
6 148.0235 "listening"
6 148.3569 "listening"
6 148.9569 "listening"
6 149.3735 "listening"
6 150.4566 "listening"
6 150.89 "listening"
6 151.5232 "listening"
6 152.1899 "listening"
6 152.6065 "listening"
6 153.0897 "listening"
6 153.5231 "listening"
6 154.0231 "listening"
6 154.5397 "listening"
6 162.789 "listening"
6 163.6056 "listening"
6 164.1389 "listening"
6 169.1051 "listening"
6 173.288 "listening"
6 173.6714 "listening"
6 174.2047 "listening"
6 175.2213 "listening"
6 175.7713 "listening"
6 176.3211 "listening"
6 176.7211 "listening"
6 177.2711 "listening"
6 177.6544 "listening"
6 178.1544 "listening"
6 178.571 "listening"
6 183.3538 "listening"
6 183.6372 "listening"
6 183.9372 "listening"
6 184.4038 "listening"
6 184.6704 "listening"
6 185.2038 "listening"
6 185.787 "listening"
6 186.1537 "listening"
6 187.3369 "listening"
6 200.0024 "listening"
6 202.7189 "listening"
6 203.6022 "listening"
6 204.0521 "listening"
6 204.5521 "listening"
6 205.2354 "listening"
6 205.7354 "listening"
6 206.1853 "listening"
6 206.9019 "listening"
6 207.4685 "listening"
6 207.9517 "listening"
6 208.3017 "listening"
6 208.8184 "listening"
6 209.4683 "listening"
6 210.135 "listening"
6 210.6682 "listening"
6 211.2848 "listening"
6 211.8681 "listening"
6 212.1847 "listening"
6 212.8847 "listening"
6 213.2847 "listening"
6 214.1179 "listening"
6 229.7667 "listening"
6 231.7998 "listening"
7 0.6727 "listening"
7 1.1061 "listening"
7 2.6226 "listening"
7 3.7892 "listening"
7 4.1058 "listening"
7 6.0057 "listening"
7 6.7889 "listening"
7 8.1055 "listening"
7 11.2552 "listening"
7 16.1548 "listening"
7 18.0879 "listening"
7 24.5707 "listening"
7 26.7872 "listening"
7 30.7202 "listening"
7 36.203 "listening"
7 40.3694 "listening"
7 41.3026 "listening"
7 42.3192 "listening"
7 43.4691 "listening"
7 44.9857 "listening"
7 47.9854 "listening"
7 49.7185 "listening"
7 52.2184 "listening"
7 57.118 "listening"
7 61.6676 "listening"
7 63.1674 "listening"
7 63.6508 "listening"
7 64.1674 "listening"
7 64.7173 "listening"
7 65.4673 "listening"
7 66.7171 "listening"
7 68.6503 "listening"
7 70.2669 "listening"
7 72.4667 "listening"
7 74.1332 "listening"
7 77.7163 "listening"
7 79.0328 "listening"
7 81.8159 "listening"
7 86.6655 "listening"
7 91.6817 "listening"
7 93.6149 "listening"
7 95.2814 "listening"
7 97.2979 "listening"
7 98.1811 "listening"
7 100.631 "listening"
7 111.9466 "listening"
7 114.0797 "listening"
7 117.6462 "listening"
7 119.2793 "listening"
7 120.8292 "listening"
7 123.7956 "listening"
7 125.0455 "listening"
7 126.3287 "listening"
7 137.0612 "listening"
7 138.661 "listening"
7 141.5607 "listening"
7 142.444 "listening"
7 143.2772 "listening"
7 148.0936 "listening"
7 149.9434 "listening"
7 150.9933 "listening"
7 152.3099 "listening"
7 155.7762 "listening"
7 159.3426 "listening"
7 162.9089 "listening"
7 168.8251 "listening"
7 183.9571 "listening"
7 184.7071 "listening"
7 186.2403 "listening"
7 187.2402 "listening"
7 188.5401 "listening"
7 190.04 "listening"
7 190.8899 "listening"
7 191.8064 "listening"
7 193.073 "listening"
7 193.923 "listening"
7 194.9895 "listening"
7 195.8895 "listening"
7 196.806 "listening"
7 198.9059 "listening"
7 202.7056 "listening"
7 206.0219 "listening"
7 209.4384 "listening"
7 211.8381 "listening"
7 215.5878 "listening"
7 218.1042 "listening"
7 221.1373 "listening"
7 223.1705 "listening"
7 226.3535 "listening"
7 228.0867 "listening"
7 229.72 "listening"
7 231.2198 "listening"
8 3.5685 "listening"
8 6.5349 "listening"
8 13.151 "listening"
8 14.4509 "listening"
8 16.1507 "listening"
8 23.0168 "listening"
8 29.6831 "listening"
8 34.0659 "listening"
8 39.7488 "listening"
8 41.9985 "listening"
8 47.2148 "listening"
